CodigoPedido;EmailCliente;CodigoCliente;Qtd;CodigoProduto;CategoriaProduto
65257;reed1@adventure-works.com;29916;2;955;Bikes
65258;conor0@adventure-works.com;29690;3;937;Components
65259;emilio0@adventure-works.com;29514;1;963;Bikes
65260;tamara0@adventure-works.com;29887;2;859;Clothing
65261;joyce0@adventure-works.com;29877;1;979;Bikes
65262;fran0@adventure-works.com;29838;2;711;Accessories
65263;andrew5@adventure-works.com;29915;2;989;Bikes
65264;rhoda0@adventure-works.com;29750;2;794;Bikes
65265;shelley2@adventure-works.com;29729;1;977;Bikes
65266;elsie0@adventure-works.com;29948;1;916;Components
65267;george2@adventure-works.com;29878;2;979;Bikes
65268;eric6@adventure-works.com;29931;2;952;Components
65269;cheryl0@adventure-works.com;29834;1;984;Bikes
65270;jean1@adventure-works.com;29810;2;867;Clothing
65271;christopher1@adventure-works.com;29546;3;874;Clothing
65272;elizabeth1@adventure-works.com;29642;1;809;Components
65273;richard3@adventure-works.com;29628;1;925;Components
65274;jose4@adventure-works.com;29965;1;895;Components
65275;sandra1@adventure-works.com;29512;1;978;Bikes
65276;jeanette0@adventure-works.com;29669;9;875;Clothing
65277;edna0@adventure-works.com;29553;1;966;Bikes
65278;megan1@adventure-works.com;29695;2;893;Components
65279;donald0@adventure-works.com;29568;4;708;Accessories
65280;anna1@adventure-works.com;30082;2;953;Bikes
65281;gail1@adventure-works.com;29738;2;889;Components
65282;rebecca2@adventure-works.com;29932;3;996;Components
65283;pamela2@adventure-works.com;29685;3;868;Clothing
65284;beth0@adventure-works.com;29864;3;864;Clothing
65285;melissa0@adventure-works.com;29982;3;874;Clothing
65286;emilo0@adventure-works.com;30020;2;966;Bikes
65287;rosmarie0@adventure-works.com;29638;2;738;Components
65288;matthew2@adventure-works.com;29804;3;957;Bikes
65289;david16@adventure-works.com;29847;2;939;Components
65290;mark5@adventure-works.com;29939;1;949;Components
65291;wayne0@adventure-works.com;29535;2;779;Bikes
65292;peter2@adventure-works.com;29676;3;797;Bikes
65293;guy0@adventure-works.com;29781;2;874;Clothing
